date,time,Strain,hour,freq_mean,total_mean,real_count_mean,freq_std,total_std,real_count_std
06/01/2016,0.0,Green,09:35,0.40046467120742424,32904.0,13184250.0,0.0031883289691811956,3498.182456648023,1470363.794269976
06/01/2016,0.0,Red,09:35,0.5995353287925758,32904.0,19719750.0,0.0031883289691811935,3498.182456648023,2032029.3274212359
06/01/2016,0.8666666666666667,Green,10:27,0.39609457636789275,71018.75,11244000.0,0.0015279904042714298,22614.386818737756,3550883.5970783383
06/01/2016,0.8666666666666667,Red,10:27,0.6039054236321071,71018.75,17163500.0,0.0015279904042714012,22614.386818737756,5495044.6212928975
06/01/2016,1.8666666666666667,Green,11:27,0.28577162906380427,191726.25,21890900.0,0.007215107799948422,38379.36536327171,4259428.3407518435
06/01/2016,1.8666666666666667,Red,11:27,0.7142283709361957,191726.25,54799600.0,0.007215107799948395,38379.36536327171,11130747.37113371
06/01/2016,3.15,Green,12:44,0.2157947004400495,441999.25,37555700.0,0.006129607219224622,249145.57481056632,20005317.38988412
06/01/2016,3.15,Red,12:44,0.7842052995599504,441999.25,139244000.0,0.0061296072192246025,249145.57481056632,79655632.91017152
06/01/2016,3.8,Green,13:23,0.22655589376089763,68502.5,31049000.0,0.004023120160372745,4372.175459653924,2228016.8311752044
06/01/2016,3.8,Red,13:23,0.7734441062391024,68502.5,105956000.0,0.004023120160372722,4372.175459653924,6604776.604851976
06/01/2016,5.016666666666667,Green,14:36,0.2194911356577938,251673.75,108578000.0,0.004878205005538712,203895.43560042608,85278863.79402578
06/01/2016,5.016666666666667,Red,14:36,0.7805088643422062,251673.75,394769500.0,0.004878205005538708,203895.43560042608,322529853.0101516
06/01/2016,5.85,Green,15:26,0.2300484347422745,94039.75,42472000.0,0.00820438987149955,90313.47285808192,39930949.57548593
06/01/2016,5.85,Red,15:26,0.7699515652577256,94039.75,145607500.0,0.008204389871499556,90313.47285808192,140703274.31424615
06/01/2016,7.516666666666667,Green,17:06,0.23576875900966046,143867.0,67730500.0,0.008759406518198024,9420.25734786476,3433488.4228725745
06/01/2016,7.516666666666667,Red,17:06,0.7642312409903396,143867.0,220003500.0,0.008759406518198032,9420.25734786476,16065958.818259183
06/01/2016,9.116666666666667,Green,18:42,0.23164972905302028,200813.75,93053500.0,0.00613719882891102,34987.439334531184,16505237.009809947
06/01/2016,9.116666666666667,Red,18:42,0.7683502709469797,200813.75,308574000.0,0.006137198828911036,34987.439334531184,53762906.69225391
