date,time,Strain,hour,freq_mean,total_mean,real_count_mean,freq_std,total_std,real_count_std
12/14/2015,0.0,Green,12:15,0.6908044790502299,102137.5,28228600.0,0.001834661476810744,7885.078487244119,2258989.4643401946
12/14/2015,0.0,Red,12:15,0.3091955209497701,102137.5,12626400.0,0.0018346614768107456,7885.078487244119,895058.7913651259
12/14/2015,0.8833333333333333,Green,13:08,0.6984272695092508,163718.25,45753900.0,0.00254887368968313,35524.27491431036,10009820.879016766
12/14/2015,0.8833333333333333,Red,13:08,0.3015727304907492,163718.25,19733400.0,0.0025488736896831237,35524.27491431036,4203663.330953134
12/14/2015,1.7333333333333334,Green,13:59,0.7061784180355171,38076.25,134007500.0,0.017400529381774995,13326.64007495888,45436146.197163336
12/14/2015,1.7333333333333334,Red,13:59,0.29382158196448294,38076.25,56373750.0,0.017400529381775026,13326.64007495888,21536439.28757723
12/14/2015,2.7333333333333334,Green,14:59,0.6033470415415075,30004.25,92005000.0,0.05129506760647261,6076.215243677597,24703990.821322776
12/14/2015,2.7333333333333334,Red,14:59,0.39665295845849247,30004.25,58016250.0,0.051295067606472636,6076.215243677597,5885711.909998653
12/14/2015,3.716666666666667,Green,15:58,0.6032425196025683,28504.75,89266250.0,0.047367503570691326,14506.69020443671,47147719.109067194
12/14/2015,3.716666666666667,Red,15:58,0.39675748039743175,28504.75,53257500.0,0.04736750357069129,14506.69020443671,25425498.643094495
12/14/2015,5.166666666666667,Green,17:25,0.5818517510339646,36610.5,106951250.0,0.025509043749970543,18898.079485757276,53771858.73844701
12/14/2015,5.166666666666667,Red,17:25,0.4181482489660354,36610.5,76101250.0,0.025509043749970525,18898.079485757276,41229195.26485449
12/14/2015,5.933333333333334,Green,18:11,0.5116198398209236,27386.25,69058750.0,0.06598756302566348,3121.523055737375,2091253.7358006083
12/14/2015,5.933333333333334,Red,18:11,0.4883801601790764,27386.25,67872500.0,0.06598756302566348,3121.523055737375,17047195.333837178
12/14/2015,6.7,Green,18:57,0.4422426571768806,71952.25,150597500.0,0.1142106928265382,16882.86660160235,24779035.619854134
12/14/2015,6.7,Red,18:57,0.5577573428231194,71952.25,209163750.0,0.11421069282653822,16882.86660160235,85367154.79145068
